Date,Open,High,Low,Close,Volume
08/31/2007,"96.65","99.00","96.60","98.70","609,900"
08/30/2007,"95.56","97.21","95.02","96.30","605,700"
08/29/2007,"95.45","96.24","95.10","95.83","456,100"
08/28/2007,"97.83","98.00","94.11","94.75","517,100"
08/27/2007,"100.67","100.95","97.18","97.95","460,000"
08/24/2007,"98.62","100.50","98.00","100.37","428,000"
08/23/2007,"98.99","99.98","98.00","98.82","379,500"
08/22/2007,"97.25","99.48","96.86","98.55","683,300"
08/21/2007,"97.32","97.96","95.27","96.60","496,300"
08/20/2007,"92.30","97.50","92.30","96.69","844,600"
08/17/2007,"93.97","94.49","90.99","91.64","754,400"
08/16/2007,"93.38","93.42","88.99","92.57","1,081,200"
08/15/2007,"95.70","98.00","93.11","93.61","704,400"
08/14/2007,"98.56","99.95","95.21","95.73","536,900"
08/13/2007,"97.07","99.99","96.89","97.77","796,500"
08/10/2007,"93.26","100.00","88.34","95.57","1,769,537"
08/09/2007,"95.50","97.54","90.05","95.25","2,390,900"
08/08/2007,"101.44","101.75","96.60","100.30","1,760,200"
08/07/2007,"104.80","104.99","101.63","103.25","798,100"
08/06/2007,"104.07","105.75","103.16","105.20","628,100"
08/03/2007,"104.80","106.87","103.06","103.88","853,600"
08/02/2007,"110.00","110.94","105.70","106.80","1,820,500"
08/01/2007,"100.84","105.12","100.50","104.90","1,378,200"
07/31/2007,"101.48","105.27","100.83","101.26","1,090,799"
07/30/2007,"100.02","101.85","98.54","100.69","989,200"
07/27/2007,"99.43","99.67","98.43","99.42","642,655"
07/26/2007,"99.00","100.00","98.14","99.50","749,395"
07/25/2007,"99.06","100.16","98.11","99.86","782,100"
07/24/2007,"100.50","101.62","99.65","100.46","725,900"
07/23/2007,"102.19","102.39","100.25","100.70","426,300"
07/20/2007,"102.35","102.70","101.24","101.59","463,900"
07/19/2007,"102.67","104.41","102.00","102.35","1,067,100"
07/18/2007,"98.44","103.05","98.02","101.67","1,066,400"
07/17/2007,"96.95","97.70","96.43","96.95","383,600"
07/16/2007,"95.70","97.41","95.19","96.95","865,600"
07/13/2007,"94.29","94.50","93.11","93.79","161,500"
07/12/2007,"92.93","94.57","92.70","94.47","556,700"
07/11/2007,"91.93","93.21","91.79","92.57","205,000"
07/10/2007,"93.15","93.22","91.49","92.13","403,615"
07/09/2007,"93.70","95.00","93.17","93.59","285,000"
07/06/2007,"91.45","94.00","91.35","94.00","306,700"
07/05/2007,"92.26","92.90","91.17","91.65","517,500"
07/03/2007,"92.50","92.99","92.20","92.47","417,500"
07/02/2007,"90.51","92.51","90.22","92.51","381,400"
06/29/2007,"92.18","92.99","90.14","90.51","508,000"
06/28/2007,"92.18","92.44","91.58","91.70","318,400"
06/27/2007,"91.50","93.44","91.50","92.01","729,200"
06/26/2007,"91.45","92.10","91.00","91.88","520,800"
06/25/2007,"91.16","91.94","91.00","91.50","638,500"
06/22/2007,"90.26","92.00","90.17","91.16","562,500"
06/21/2007,"89.80","91.06","89.13","90.26","486,000"
06/20/2007,"90.55","91.43","89.44","90.00","752,395"
06/19/2007,"91.50","91.51","89.90","90.35","547,600"
06/18/2007,"88.62","92.49","88.62","91.64","977,300"
06/15/2007,"89.68","90.50","88.00","88.77","646,500"
06/14/2007,"89.59","90.20","89.30","89.65","337,500"
06/13/2007,"90.52","90.52","88.55","89.54","607,200"
06/12/2007,"88.53","90.70","88.52","90.52","984,100"
06/11/2007,"90.04","90.04","86.89","88.50","1,073,170"
06/08/2007,"88.79","90.59","88.54","90.09","553,632"
06/07/2007,"92.00","92.00","88.68","88.79","607,800"
06/06/2007,"91.70","91.99","90.35","91.15","492,200"
06/05/2007,"91.39","92.62","90.89","91.80","371,100"
06/04/2007,"91.41","93.29","91.19","91.64","415,978"
06/01/2007,"91.77","92.34","91.18","91.40","392,200"
05/31/2007,"91.38","92.51","91.18","92.04","459,600"
05/30/2007,"91.48","91.94","90.58","90.63","513,000"
05/29/2007,"91.75","92.25","90.75","91.47","495,100"
05/25/2007,"90.87","91.93","90.87","91.29","329,638"
05/24/2007,"90.76","92.65","90.56","91.12","858,363"
05/23/2007,"90.14","91.21","89.91","90.76","584,695"
05/22/2007,"89.36","90.36","88.99","90.10","846,714"
05/21/2007,"89.99","89.99","88.47","89.49","1,211,100"
05/18/2007,"89.38","89.98","88.26","89.98","618,200"
05/17/2007,"90.30","90.34","89.27","89.28","637,100"
