Date,Open,High,Low,Close,Volume
10/05/2006,"58.79","59.78","58.22","59.67","250,800"
10/04/2006,"58.67","59.24","58.02","59.04","397,500"
10/03/2006,"57.60","58.15","57.26","58.01","313,100"
10/02/2006,"56.62","58.13","56.45","57.50","560,400"
09/29/2006,"56.08","57.25","56.08","56.63","493,900"
09/28/2006,"56.95","57.30","56.19","56.98","679,100"
09/27/2006,"57.95","58.24","56.93","57.20","603,900"
09/26/2006,"58.19","58.68","57.72","58.29","518,800"
09/25/2006,"58.33","58.84","57.69","58.29","416,200"
09/22/2006,"58.43","58.81","57.51","58.38","297,900"
09/21/2006,"60.10","60.15","58.13","58.43","537,900"
09/20/2006,"59.90","60.58","59.90","60.00","620,500"
09/19/2006,"59.65","59.96","59.20","59.72","309,700"
09/18/2006,"59.96","60.28","59.15","59.40","491,400"
09/15/2006,"59.19","59.79","58.87","59.51","404,400"
09/14/2006,"59.10","59.60","58.56","59.18","396,300"
09/13/2006,"57.87","59.71","57.87","59.52","679,800"
09/12/2006,"56.51","58.05","56.51","57.73","778,700"
09/11/2006,"55.75","57.36","55.35","56.76","613,500"
09/08/2006,"55.11","56.65","54.83","55.61","1,368,300"
09/07/2006,"56.00","56.60","55.61","56.46","329,100"
09/06/2006,"57.01","57.01","56.00","56.21","360,000"
09/05/2006,"56.67","57.51","56.58","57.01","452,200"
09/01/2006,"56.33","56.58","55.60","56.27","335,800"
08/31/2006,"55.40","56.32","55.25","56.08","349,500"
08/30/2006,"57.98","58.00","55.16","55.57","763,600"
08/29/2006,"55.99","57.36","55.94","57.20","1,120,200"
08/28/2006,"55.25","56.13","54.94","55.96","948,600"
08/25/2006,"54.85","55.34","54.09","55.02","555,100"
08/24/2006,"54.40","55.32","54.40","55.01","941,000"
08/23/2006,"53.55","54.98","53.55","54.50","487,000"
08/22/2006,"52.86","54.17","52.72","53.75","903,600"
08/21/2006,"52.75","53.75","52.70","52.96","426,700"
08/18/2006,"52.71","53.70","51.81","52.81","919,200"
08/17/2006,"52.08","53.00","52.05","52.86","712,300"
08/16/2006,"52.79","52.90","51.68","52.68","774,000"
08/15/2006,"51.97","53.00","51.91","52.84","620,300"
08/14/2006,"51.38","52.16","51.28","51.67","470,100"
08/11/2006,"50.86","51.85","50.86","51.49","389,700"
08/10/2006,"51.57","52.05","51.42","51.76","610,700"
08/09/2006,"50.62","52.11","50.58","51.51","679,900"
08/08/2006,"50.55","51.25","49.88","50.62","556,300"
08/07/2006,"49.67","50.82","49.61","50.55","815,800"
08/04/2006,"51.44","51.75","48.98","49.67","2,419,900"
08/03/2006,"52.90","53.08","50.50","51.45","3,090,800"
08/02/2006,"50.51","50.53","49.65","49.81","1,007,800"
08/01/2006,"49.06","50.70","48.45","50.36","719,500"
07/31/2006,"48.00","49.93","47.18","49.06","637,700"
07/28/2006,"50.35","50.70","48.79","49.10","700,100"
07/27/2006,"50.50","51.90","50.03","50.16","900,400"
07/26/2006,"53.89","53.89","52.98","53.08","304,900"
07/25/2006,"51.90","53.93","51.80","53.90","488,200"
07/24/2006,"51.43","52.65","51.43","52.06","339,300"
07/21/2006,"51.60","52.33","50.49","52.33","434,000"
07/20/2006,"50.60","52.14","50.38","51.75","568,200"
07/19/2006,"51.05","51.87","50.48","50.60","604,600"
07/18/2006,"52.05","52.11","48.19","50.25","3,010,500"
07/17/2006,"53.14","55.20","53.09","54.35","1,125,400"
07/14/2006,"51.85","52.82","51.21","52.64","472,800"
07/13/2006,"51.85","52.53","51.61","52.00","696,200"
07/12/2006,"51.28","52.80","51.28","52.07","956,400"
07/11/2006,"50.86","51.36","50.32","51.18","311,800"
07/10/2006,"49.51","50.60","49.51","50.56","469,700"
07/07/2006,"49.90","50.27","49.35","49.51","471,600"
07/06/2006,"49.30","50.16","49.18","49.97","490,100"
07/05/2006,"49.72","49.76","48.68","49.22","511,800"
07/03/2006,"48.85","49.81","48.10","49.72","391,700"
06/30/2006,"45.90","49.05","45.85","49.05","1,796,600"
06/29/2006,"46.67","47.72","44.50","46.29","818,100"
06/28/2006,"46.32","46.54","44.24","45.54","401,800"
06/27/2006,"46.22","46.82","45.98","46.37","559,800"
06/26/2006,"46.30","46.49","45.60","46.36","336,700"
06/23/2006,"45.90","46.66","45.80","46.30","372,500"
06/22/2006,"45.45","47.37","45.25","46.35","689,600"
06/21/2006,"45.46","45.65","45.00","45.36","702,400"
06/20/2006,"47.12","47.35","44.76","45.50","1,103,900"
06/19/2006,"48.20","48.44","46.96","47.17","644,300"
06/16/2006,"48.11","48.79","47.56","48.18","639,400"
